Days;HealthyRed;HealthyGreen;AttackedRed;AttackedGreen;Agered days at t0;TotalRed;State;Agered days at t0+10
1;0;184;0;3;196;0;1;196
19;48;56;11;3;183;59;0;188
40;5;52;1;13;162;6;0;167
61;1;91;1;14;141;2;0;146
82;21;62;20;9;120;41;0;125
103;3;68;15;6;99;18;0;104
124;1;61;1;7;78;2;0;83
145;0;64;0;6;57;0;0;62
166;0;71;1;5;36;1;0;41
187;5;73;16;5;15;21;0;20
208;3;122;5;15;-6;8;0;-1
229;4;109;5;18;-27;9;0;-22
250;7;83;18;31;-48;25;0;-43
271;7;79;18;11;-69;25;0;-64
292;6;65;6;14;-90;12;0;-85
313;37;9;10;0;-111;47;0;-106
334;0;12;0;1;-132;0;0;-127
355;12;0;3;0;-153;15;0;-148
